division,n,mean_spend,median_spend,sd_spend,mean_grad,median_grad,sd_grad,correlation
D-I FBS,108,0.08098651356517113,0.07233197269809978,0.03737149584398385,0.6857591732175564,0.6721871785352422,0.13512536362510164,-0.3031957693663523
D-I FCS,75,0.07702956627096463,0.07659968405527685,0.03103630696647281,0.52945846150523,0.5309278350515464,0.14458914383692556,-0.20142046493516352
D-I no football,46,0.050331783714395145,0.043319519076142676,0.02775053145330517,0.5645904713364283,0.5549323416820068,0.1525419750119019,-0.4670503251962103
D-II,143,0.06477668711547996,0.05703272539015386,0.040438345055348456,0.4743419915468885,0.4731270358306189,0.11422188293148818,-0.20645938327641353
D-III,73,0.024012200573739945,0.022007762050773025,0.014795935520047529,0.5822780932552583,0.5844155844155844,0.1198985374833718,0.08113143779222778
