division,term,estimate,std.error,statistic,p.value,conf.low,conf.high
D-I FBS,spendRate,-1.0962750529509824,0.33465990369056,-3.2757884672214646,0.0014243504358244948,-1.7597708616305927,-0.43277924427137204
D-I FCS,spendRate,-0.9383594706571007,0.534085538126434,-1.7569460389226321,0.08312010722589096,-2.0027904131224203,0.12607147180821887
D-I no football,spendRate,-2.567330256548853,0.7327525337050838,-3.503679807925639,0.0010670401918529103,-4.04409595306959,-1.0905645600281162
D-II,spendRate,-0.583163813317002,0.23274872908244024,-2.5055510103792824,0.013363177412940838,-1.0432921047796793,-0.12303552185432476
D-III,spendRate,0.6574468185557516,0.958535552894171,0.6858867327045701,0.49501818419623833,-1.2538187899818203,2.5687124270933235
