model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
pooled,0.014807938438877734,0.01258402859336738,0.15133520757192012,6.658515617785307,0.010189145193132916,1,209.849409928722,-413.698819857444,-401.4045970109453,10.145738857520412,443,445
additive,0.31613787973218976,0.3083490173145609,0.12665822634717552,40.58845345844899,2.654607117741393e-34,5,291.0797744034726,-568.1595488069452,-539.4730288317814,7.0425724663200215,439,445
interaction,0.33202483612878897,0.31820466032455696,0.12575258379629906,24.0246463454624,2.262805693937775e-33,9,296.3097093795296,-570.6194187590592,-525.5406016552305,6.878964864178671,435,445
