ETF,R2,n,estimate_Tariff,estimate_govtSpending,estimate_interestRate,estimate_adjustedBalance,estimate_Volatility,estimate_taxReceipts,estimate_Inflation,estimate_Mkt_RF,estimate_SMB,estimate_HML,p.value_Tariff,p.value_govtSpending,p.value_interestRate,p.value_adjustedBalance,p.value_Volatility,p.value_taxReceipts,p.value_Inflation,p.value_Mkt_RF,p.value_SMB,p.value_HML
XLY,0.6977926868203127,106,-0.009754455769140805,0.04466550410925636,-0.9919915348516445,0.018246851380960296,2.781288335908988e-4,0.0029322351792835303,-0.7126125737498318,0.9853040914122805,-0.24048389760901612,-0.09391207433784231,3.9776880103514435e-8,0.38792344875415963,0.46455311364067575,0.6001880272754777,0.7811290750660124,0.9268620062014261,0.24227160181187027,3.393362051720678e-15,0.17846131883719676,0.5368822836730797
XLP,0.5193363149614975,106,0.0014962972833615557,-0.021594113076490243,-0.1855075840219291,-0.0012080887591643546,6.177132591430527e-4,-0.009336490322753173,-0.45235784295625164,0.6013009793834411,-0.7302296439266188,0.19412369137010205,0.19818302555178782,0.6142223078955253,0.8382240433128668,0.9671438320874352,0.35720781177607375,0.7983235540367035,0.2695277130100349,1.4373417805706751e-13,3.2396760652371387e-6,0.041343624665111954
XLE,0.650549478987446,106,0.007041975712365207,0.2828385605769505,-0.11898495309186197,-0.019365643847601633,-0.0016129303731454013,-0.15249229186857613,2.7281894651282106,0.9699720774594061,-0.06409784422666674,0.829028432100626,0.01911861505598743,9.639180405193307e-5,0.928588139891954,0.7470658717160805,0.3740222125271092,0.018425791261235204,0.0014828015212894887,1.1677438982428371e-9,0.7792704673912935,2.4071791720028915e-4
XLF,0.7992763880931126,104,-0.00203260611581492,-0.060105480408820855,1.293158319883063,0.109764821321992,-0.001885692840953228,0.05242649928897857,-1.5745365252343726,1.0934908525607017,-0.30733756285425284,0.5820277255154201,0.24286721206917455,0.22592736304548458,0.27333896498046734,0.019483777521349617,0.11739991957902135,0.24356582098566568,0.015207176932024433,2.696973149825124e-19,0.05754526270274397,1.6472017662439754e-10
XLV,0.6011248345320623,106,0.0047112042287287825,-0.031388812172973346,-0.7278443935215394,0.06926400045564166,-7.600337789100206e-4,-0.028981434216157634,-0.5098231092310881,0.5946057997711797,-0.2352599169091003,-0.10339975401371043,3.0049248584571123e-4,0.4282701987744376,0.49691271942611615,0.04503844763975869,0.37365537346194855,0.5624541160450619,0.37485486126411505,7.606418682446516e-12,0.16778321788691064,0.09176794804908288
XLI,0.8520735831449028,106,-0.0019754462270154855,-0.010117366526265286,-1.868812937803143,0.03192735374687415,0.0010170738236595694,0.04243921933436666,-0.1955663294232937,1.179643749910519,-0.21245264095255173,0.3095916222143385,0.15515190743281518,0.7566904481025647,0.002455391650798808,0.3494630162451543,0.11703147885574997,0.14982265872420295,0.6500750063957663,1.5943508385473086e-32,0.1767055730980247,1.5072190698152413e-4
XLB,0.7872062823141472,106,0.002410512492552681,0.056515390578014454,-3.1601613036811838,0.013439687173173369,-0.0011359023609600867,-0.03976258685502749,0.6182181804511885,1.0887293487535263,-0.23906980267893935,0.3410728154242989,0.25417861923490176,0.11135158458789955,6.825224432777811e-5,0.7697295177202943,0.3698415844743077,0.36738518735655357,0.2560376341741517,6.392882078775346e-17,0.19580118789261294,0.02561330247498685
XLK,0.8752653207330264,106,-5.694724948973143e-4,0.0035394222405017994,-1.422164049469318,-0.05966360097049561,2.7921981187721204e-4,-0.024978677841889788,0.8757819232105633,1.128201095989344,-0.23095388695381297,-0.857164110737059,0.7271859055955558,0.9544724418330995,0.13995325591201235,0.10888255115515331,0.7280964964049417,0.4247503285045996,0.08557033543897119,1.499640776239551e-23,0.23481458767848737,3.3284158041000347e-13
XLU,0.3322943891587729,106,3.7553485106799414e-4,-0.006726204249508904,-0.29394359607873954,0.04449676325381879,9.888329300003194e-4,0.05725042995491395,-0.12186199823391927,0.56279875553534775,-0.3100127779493981,0.1826486025377213,0.8139722197986035,0.8624588558077569,0.7702116374451832,0.3023202794346389,0.3000155734902269,0.20320822526247784,0.8259433449918461,5.855031486116063e-8,0.12310722958496939,0.07403001728889592
